# 泰深输入法专业词库 — network
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：搜狗细胞词库（官方推荐分类），scel2txt 转换

啊对对对	aduiduidui
阿丁	ading
阿丁格拉	adinggela
阿不都沙拉木	abudoushalamu
阿刁	adiao
阿勃梭鲁	abosuolu
阿包	abao
阿卜杜拉	abudula
阿卜杜拉希	abudulaxi
阿卜耶伊临时安全部队	abuyeyilinshianquanbudui
阿坝	aba
阿坝县	abaxian
阿坝州	abazhou
阿安	aan
阿尔	aer
阿尔伯塔省	aerbotasheng
阿尔克马尔	aerkemaer
阿尔加维国际赛道	aerjiaweiguojisaidao
阿尔卡拉斯	aerkalasi
阿尔及	aerji
阿尔及利亚	aerjiliya
阿尔古斯	aergusi
阿尔塔	aerta
阿尔塞	aersai
阿尔山	aershan
阿尔巴	aerba
阿尔巴尼亚	aerbaniya
阿尔巴尼斯	aerbanisi
阿尔德里奇	aerdeliqi
阿尔忒弥斯	aerteimisi
阿尔忒弥斯美伢	aerteimisimeiya
阿尔梅勒城	aermeilecheng
阿尔波拉	aerbola
阿尔特塔	aerteta
阿尔玛	aerma
阿尔菲	aerfei
阿尔费雷斯	aerfeileisi
阿尔达马	aerdama
阿尔马维尔	aermaweier
阿尔马达	aermada
阿巴基	abaji
阿巴斯	abasi
阿巴斯港	abasigang
阿布	abu
阿布扎比	abuzhabi
阿布扎比国家石油公司	abuzhabiguojiashiyougongsi
阿布扎比大师赛	abuzhabidashisai
阿布马赫迪	abumahedi
阿德	ade
阿德尔曼	adeerman
阿德巴约	adebayue
阿德维图	adeweitu
阿德耶米	adeyemi
阿德莱德	adelaide
阿德莱德联	adelaidelian
阿德里亚诺	adeliyanuo
阿德里安	adelian
阿拜多斯	abaiduosi
阿斌	abin
阿朵去歌手吧	aduoqugeshouba
阿杜	adu
阿比	abi
阿比奥顿	abiaodun
阿波哥	aboge
阿波尼亚	aboniya
阿波罗	aboluo
阿波罗公司	aboluogongsi
阿波罗画廊	aboluohualang
阿爆	abao
阿爆回应	abaohuiying
阿爆私密账号	abaosimizhanghao
阿爸的刀	abadedao
阿禅	achan
阿禅官宣	achanguanxuan
阿策	ace
阿策道歉	acedaoqian
阿耳忒弥斯	aerteimisi
阿脆	acui
阿蝉	achan
阿豆	adou
阿豆一诺合照	adouyinuohezhao
阿贝多	abeiduo
阿贝尔	abeier
阿贝贝	abeibei
阿赑	abi
阿达娃淘汰	adawataotai
阿达希尔	adaxier
阿达穆斯镇	adamusizhen
阿迪	adi
阿迪昂	adiang
阿迪格共和国	adigegongheguo
阿迪莱	adilai
阿迪达斯	adidasi
阿道夫	adaofu
阿鹅姐	aejie
阿黛	adai
阿黛尔	adaier
阿黛尔采访	adaiercaifang
