# taishenIME domain — sport
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
舞蹈理论	wudaolilun
障礙跑競賽	zhangaipaojingsai
職業運動員	zhiyeyundongyuan
蒋川	jiangchuan
中國棒球協會	zhongguobangqiuxiehui
應援廣告	yingyuanguanggao
轮椅冰壶	lunyibinghu
梅花自行车	meihuazixingche
再見安打	zaijiananda
徐雪丽	xuxueli
美式手球	meishishouqiu
榊原良行	shenyuanliangxing
空翻	kongfan
木人樁	murenzhuang
爆裂震撼	baoliezhenhan
滾飛比	gunfeibi
快扣	kuaikou
黃士聰	huangshicong
跑酷	paoku
雙槓屈臂支撐	shuanggangqubizhicheng
劉明煌	liuminghuang
纪念碑球场	jinianbeiqiuchang
划船器	huachuanqi
焦特布尔马裤	jiaotebuermaku
退休背號	tuixiubeihao
慢跑	manpao
長打率	zhangdalv
桃園石易	taoyuanshiyi
亲吻镜头	qinwenjingtou
二郭一莊	erguoyizhuang
替補	tibu
黃幸	huangxing
保齡球運動	baolingqiuyundong
彭士誠	pengshicheng
大前锋	daqianfeng
沙滩球	shatanqiu
举重	juzhong
跆拳道	taiquandao
謝鎔竹	xierongzhu
正式记录员	zhengshijiluyuan
賞鯨	shangjing
连体泳衣	liantiyongyi
天好體育場	tianhaotiyuchang
國際合球總會	guojiheqiuzonghui
王沁芳	wangqinfang
席格體育中心	xigetiyuzhongxin
陳溪川	chenxichuan
林鑫民	linxinmin
遠足	yuanzu
聯盟式橄欖球	lianmengshiganlanqiu
沙灘橄欖球	shatanganlanqiu
遲發性肌肉痛	chifaxingjiroutong
長毛象	zhangmaoxiang
桑搏	sangbo
世界末日	shijiemori
满分杆	manfengan
张丽	zhangli
吳道源	wudaoyuan
内柴正人	neichaizhengren
自由潛水	ziyouqianshui
滑雪定向	huaxuedingxiang
江念欣	jiangnianxin
余力生	yulisheng
陰道球	yindaoqiu
國際桑搏總會	guojisangbozonghui
体育场地	tiyuchangdi
陳玉連	chenyulian
呼吸调节器	huxidiaojieqi
外卡	waika
世界飛鏢總會	shijiefeibiaozonghui
楊尉廷	yangweiting
体育运动	tiyuyundong
周家拳	zhoujiaquan
掌心球	zhangxinqiu
黃河漂流事件	huanghepiaoliushijian
幽靈入球	youlingruqiu
四川蛟龍隊	sichuanjiaolongdui
拳法	quanfa
女子體育	nvzitiyu
高原訓練	gaoyuanxunlian
乔克	qiaoke
巴塔哥尼亞	batageniya
南昇龙	nanshenglong
黃金盤	huangjinpan
郭英泽	guoyingze
打平即可出线	dapingjikechuxian
冰上滑盤	bingshanghuapan
朝青龍明德	chaoqinglongmingde
犬類運動	quanleiyundong
一壘裁判	yileicaipan
中国击剑协会	zhongguojijianxiehui
瑞士足球協會	ruishizuqiuxiehui
土俵	tubiao
四强联盟	siqianglianmeng
壁手球	bishouqiu
盟可睐	mengkelai
安慶隆	anqinglong
張憶寧	zhangyining
張雁書	zhangyanshu
摔角	shuaijiao
佐藤隆治	zuotenglongzhi
再見全壘打	zaijianquanleida
熱褲	reku
帳篷	zhangpeng
主客場制	zhukechangzhi
邓禄普	denglupu
國際拳擊協會	guojiquanjixiehui
自行車	zixingche
泰诺健	tainuojian
奧林匹克休戰	aolinpikexiuzhan
十五柱球	shiwuzhuqiu
詹秀棉	zhanxiumian
滑板車	huabanche
棒球	bangqiu
中国足球报	zhongguozuqiubao
全球最強之戰	quanqiuzuiqiangzhizhan
首次登頂	shoucidengding
蔡雨軒	caiyuxuan
味全二軍	weiquanerjun
全甲格斗	quanjiagedou
带	dai
回力球	huiliqiu
香港馬王	xianggangmawang
徐詩涵	xushihan
得點圈打擊率	dedianquandajilv
直排輪	zhipailun
陳享宣	chenxiangxuan
頭城運動公園	touchengyundonggongyuan
板網球	banwangqiu
冰球	bingqiu
蛙鞋	waxie
中外野手	zhongwaiyeshou
運動生物力學	yundongshengwulixue
李丽荣	lilirong
高爾夫球桿	gaoerfuqiugan
钢架雪车	gangjiaxueche
天津雄獅隊	tianjinxiongshidui
傅聲遠	fushengyuan
贵人鸟	guirenniao
三澤公園	sanzegongyuan
岡本綾子	gangbenlingzi
朴贤淑	puxianshu
世界飛盤總會	shijiefeipanzonghui
山地運動	shandiyundong
中国赛艇协会	zhongguosaitingxiehui
高爾夫球具	gaoerfuqiuju
犯规旗	fanguiqi
中国体育彩票	zhongguotiyucaipiao
踢球手	tiqiushou
世界拳击协会	shijiequanjixiehui
劇院現場直播	juyuanxianchangzhibo
花样滑冰	huayanghuabing
劉馨尹	liuxinyin
击鞠	jiju
銅箱館	tongxiangguan
三壘裁判	sanleicaipan
打擊王	dajiwang
奧貝雷克	aobeileike
張全亮	zhangquanliang
青訓系統	qingxunxitong
足球文化	zuqiuwenhua
球僮	qiutong
向西行	xiangxixing
罗马里奥	luomaliao
趣岳	quyue
黃文成	huangwencheng
飛鏢	feibiao
劍玉	jianyu
希臘足球聯賽	xilazuqiuliansai
我们是冠军	womenshiguanjun
部活動	buhuodong
横渡钱塘江	hengduqiantangjiang
二中锋	erzhongfeng
波尼	boni
足球流氓	zuqiuliumang
雏量级	chuliangji
克特勒	ketelei
阿里郎节	alilangjie
應援團	yingyuantuan
彩虹戰衣	caihongzhanyi
超技術	chaojishu
拔河	bahe
体育政治化	tiyuzhengzhihua
現代芭蕾舞	xiandaibaleiwu
單車徑	danchejing
裁判	caipan
黃建龍	huangjianlong
金日成競技場	jinrichengjingjichang
戴简芬	daijianfen
职业棒球	zhiyebangqiu
飞奥力	feiaoli
陳再乞	chenzaiqi
轉會窗	zhuanhuichuang
舞蹈科学	wudaokexue
穆斯圖瓦球場	musituwaqiuchang
盖世威	gaishiwei
林靖軒	linjingxuan
