# 泰深输入法专业词库 — psychology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
哈菲茲	hafeizi
常模参照	changmocanzhao
投訴	tousu
聯盟	lianmeng
进化稳定对策	jinhuawendingduice
疏忽照顧	shuhuzhaogu
觀點	guandian
性愉悅	xingyuyue
钥匙儿童	yaoshiertong
可愛	keai
权威	quanwei
面部表情	mianbubiaoqing
時間知覺	shijianzhijue
社會工作	shehuigongzuo
陰性書寫	yinxingshuxie
特征整合论	tezhengzhenghelun
社会营销	shehuiyingxiao
哲學心理學	zhexuexinlixue
公主病	gongzhubing
態度	taidu
大众传播	dazhongchuanbo
检讨	jiantao
多巴胺	duobaan
感觉性失语症	ganjuexingshiyuzheng
橋野桂	qiaoyegui
華生選擇任務	huashengxuanzerenwu
原子習慣	yuanzixiguan
活動理論	huodonglilun
加速世界	jiasushijie
群体极化	quntijihua
畏寒	weihan
嚴肅性	yansuxing
边缘系统	bianyuanxitong
发展心理学	fazhanxinlixue
分离性障碍	fenlixingzhangai
藝術治療	yishuzhiliao
夢占	mengzhan
本能漂移	bennengpiaoyi
行为科学	xingweikexue
学习的条件	xuexidetiaojian
社區諮商	shequzishang
心理學家	xinlixuejia
幻想	huanxiang
动机性遗忘	dongjixingyiwang
实验心理学	shiyanxinlixue
心靈魔術	xinlingmoshu
自嘲	zichao
近側發展區間	jincefazhanqujian
出生顺序	chushengshunxu
米爾格倫實驗	miergelunshiyan
目标设定理论	mubiaoshedinglilun
心智理論	xinzhililun
心理学公报	xinlixuegongbao
海洋感覺	haiyangganjue
愉快	yukuai
自我知识	ziwozhishi
疲勞	pilao
演化伦理学	yanhualunlixue
超心理学	chaoxinlixue
青春本我	qingchunbenwo
图腾与禁忌	tutengyujinji
割腕	gewan
父母管理訓練	fumuguanlixunlian
数学心理学	shuxuexinlixue
心靈投射謬誤	xinlingtoushemiuwu
基本歸因謬誤	jibenguiyinmiuwu
對立反抗症	duilifankangzheng
存在	cunzai
情感标示	qingganbiaoshi
心理假	xinlijia
信念	xinnian
十三恐懼症	shisankongjuzheng
好奇	haoqi
库里肖夫效应	kulixiaofuxiaoying
性格數據庫	xinggeshujuku
社群意識	shequnyishi
纏擾	chanrao
心理学史	xinlixueshi
西蘇	xisu
