# 泰深输入法专业词库 — conversation
# 格式：词 拼音（每行一个，制表符分隔）
# 来源：泰深对话数据库语料挖掘（2026-05~08，得分=user频次x3+assistant频次）
# 生成: 2026-08-09 自动构建，人工可增删
# 追加: 2026-08-09 v2 归档语料二次挖掘（周易/六壬术语 + 会话概念 + 行业词）
泰深	taishen
根因	genyin
泰案	taian
全量	quanliang
大衍	dayan
选股	xuangu
微信	weixin
回测	huice
高亮	gaoliang
对标	duibiao
落盘	luopan
竞品	jingpin
白屏	baiping
知乎	zhihu
锚点	maodian
口播	koubo
动爻	dongyao
抖音	douyin
全绿	quanlv
本卦	bengua
六壬	liuren
归奇	guiqi
挂一	guayi
动效	dongxiao
普洛	puluo
揲四	diesi
勾选	gouxuan
得对	dedui
稍等	shaodeng
问卦	wengua
解卦	jiegua
分二	fener
回滚	huigun
显式	xianshi
问策	wence
口播稿	koubogao
极简	jijian
之卦	zhigua
直连	zhilian
起卦	qigua
大六壬	daliuren
单测	dance
三叔	sanshu
全仓	quancang
为空	weikong
东财	dongcai
排期	paiqi
量价	liangjia
闪退	shantui
盐选	yanxuan
聚类	julei
演法	yanfa
量比	liangbi
止盈	zhiying
日线	rixian
盯盘	dingpan
重做	zhongzuo
高开	gaokai
按需	anxu
晴风村	qingfengcun
自研	ziyan
三变	sanbian
拉取	laqu
切回	qiehui
大衍筮法	dayanshifa
谷歌	guge
多选	duoxuan
自绘	zihui
热词	reci
终稿	zhonggao
人设	renshe
透传	touchuan
回显	huixian
只剩	zhisheng
防抖	fangdou
加仓	jiacang
旭创	xuchuang
无咎	wujiu
三传	sanchuan
问断	wenduan
跑通	paotong
爆款	baokuan
修法	xiufa
测完	cewan
下泰深	xiataishen
卡顿	kadun
科创	kechuang
浙文	zhewen
请解卦	qingjiegua
老阳	laoyang
阿宝	abao
分二为	fenerwei
挂一象	guayixiang
全栈	quanzhan
隐式	yinshi
申金	shenjin
导图	daotu
财报	caibao
冲高	chonggao
重跑	zhongpao
竞态	jingtai
戌土	xutu
低开	dikai
实机	shiji
防呆	fangdai
写完	xiewan
顺纹	shunwen
占比	zhanbi
长鑫	zhangxin
得多	deduo
边栏	bianlan
扫码	saoma
掷钱	zhiqian
选一	xuanyi
看盘	kanpan
三大	sanda
滞涨	zhizhang
解耦	jieou
三源	sanyuan
配列	peilie
盘口	pankou
初爻	chuyao
弱转强	ruozhuanqiang
去做	quzuo
风控	fengkong
实盘	shipan
反杀	fansha
宝鼎	baoding
直调	zhidiao
非空	feikong
大衍问策	dayanwence
小红书	xiaohongshu
还差	haicha
以象	yixiang
修完	xiuwan
混输	hunshu
前请	qianqing
如未	ruwei
修个	xiuge
主身	zhushen
个月	geyue
不进	bujin
午火	wuhuo
子水	zishui
降权	jiangquan
全修	quanxiu
预判	yupan
片坞	pianwu
实锤	shichui
修掉	xiudiao
已装	yizhuang
埋点	maidian
头七	touqi
阿伟	awei
前高	qiangao
末传	mochuan
量型	liangxing
观局	guanju
区和	quhe
赛博	saibo
去一	quyi
传参	chuancan
长词	zhangci
不改	bugai
卦说	guashuo
空仓	kongcang
火珠问断	huozhuwenduan
话说	huashuo
对么	duime
一卦	yigua
写书	xieshu
线上	xianshang
点开	diankai
主窗	zhuchuang
愿景	yuanjing
时不	shibu
置灰	zhihui
之则	zhize
话因	huayin
一进	yijin
金叉	jincha
盘前	panqian
极低	jidi
这和	zhehe
互卦	hugua
强杀	qiangsha
研报	yanbao
直出	zhichu
泰深后	taishenhou
泰深能	taishenneng
浼氳瘽	meiyunqin
寻装	xunzhuang
群里	qunli
开干	kaigan
早盘	zaopan
诱多	youduo
不写	buxie
变阴	bianyin
爻动	yaodong
速览	sulan
得爻	deyao
走完	zouwan
也不	yebu
丑感	chougan
二选一	erxuanyi
点进	dianjin
将这	jiangzhe
条路	tiaolu
只改	zhigai
词里	cili
这张	zhezhang
大单	dadan
单次	danci
不像	buxiang
吐槽	tucao
万词	wanci
一变	yibian
分位	fenwei
回踩	huicai
轮动	lundong
中际旭创	zhongjixuchuang
端到端	duandaoduan
跑个	paoge
为例	weili
平开	pingkai
对泰	duitai
落袋	luodai
用例	yongli
覆写	fuxie
二爻	eryao
同款	tongkuan
手测	shouce
牛熊	niuxiong
泰深做	taishenzuo
泰深会	taishenhui
提亮	tiliang
