# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
一捻金胶囊	yinianjinjiaonang
一期愈合	yiqiyuhe
一期梅毒	yiqimeidu
一期缝合	yiqifenghe
一次性使用导尿管	yicixingshiyongdaoniaoguan
一次性口罩	yicixingkouzhao
一次性输液器	yicixingshuyeqi
一氯二氟乙烷	yilverfuyiwan
一清胶囊	yiqingjiaonang
一清软胶囊	yiqingruanjiaonang
一清颗粒	yiqingkeli
一级亲属	yijiqinshu
一过性脑缺血	yiguoxingnaoquexue
丁丙诺啡	dingbingnuofei
丁卡因	dingkayin
丁咯地尔	dinggedier
丁型病毒性肝炎	dingxingbingduxingganyan
丁甘仁	dingganren
丁硼乳膏	dingpengrugao
丁细牙痛胶囊	dingxiyatongjiaonang
丁蔻理中丸	dingkoulizhongwan
丁螺环酮	dingluohuantong
丁酸氢化可的松	dingsuanqinghuakedisong
丁香叶	dingxiangye
七制香附丸	qizhixiangfuwan
七十味珍珠	qishiweizhenzhu
七十味珍珠丸	qishiweizhenzhuwan
七厘散	qilisan
七厘胶囊	qilijiaonang
七叶一枝花	qiyeyizhihua
七叶皂苷钠	qiyezaoganna
七叶皂苷钠片	qiyezaogannapian
七叶神安滴丸	qiyeshenandiwan
七叶神安片	qiyeshenanpian
七味消渴胶囊	qiweixiaokejiaonang
七味糖脉舒胶囊	qiweitangmaishujiaonang
七味葡萄散	qiweiputaosan
七味螃蟹甲丸	qiweipangxiejiawan
七味解毒活血膏	qiweijieduhuoxuegao
七味都气丸	qiweidouqiwan
七味铁屑丸	qiweitiexiewan
七宝美髯丹	qibaomeirandan
七氟醚	qifumi
七生力片	qishenglipian
七生静片	qishengjingpian
七美岛	qimeidao
七鞭回春乐胶囊	qibianhuichunlejiaonang
万乃洛韦	wannailuowei
万应宝珍膏	wanyingbaozhengao
万应甘和茶	wanyingganhecha
万托林	wantuolin
万氏牛黄清心丸	wanshiniuhuangqingxinwan
万爽力	wanshuangli
万痛筋骨贴	wantongjingutie
万通筋骨片	wantongjingupian
万通筋骨贴	wantongjingutie
三七伤药片	sanqishangyaopian
三七养血胶囊	sanqiyangxuejiaonang
三七总皂苷	sanqizongzaogan
三七片	sanqipian
三七粉	sanqifen
三七胶囊	sanqijiaonang
三七药酒	sanqiyaojiu
三七血伤宁胶囊	sanqixueshangningjiaonang
三七通舒胶囊	sanqitongshujiaonang
三两半药酒	sanliangbanyaojiu
三九胃泰	sanjiuweitai
三九胃泰胶囊	sanjiuweitaijiaonang
三九胃泰颗粒	sanjiuweitaikeli
三仙丹	sanxiandan
三体性	santixing
三十六味消渴胶囊	sanshiliuweixiaokejiaonang
三十烷醇	sanshiwanchun
三叶虫类	sanyechonglei
三味蒺藜散	sanweijilisan
三唑仑片	sanzuolunpian
三因极一病证方论	sanyinjiyibingzhengfanglun
三妙丸	sanmiaowan
三子养亲汤	sanziyangqintang
三宝胶囊	sanbaojiaonang
三尖杉酯碱	sanjianshanzhijian
三尖瓣狭窄	sanjianbanxiazhai
三尖瓣返流	sanjianbanfanliu
三尖瓣闭锁不全	sanjianbanbisuobuquan
三带喙库蚊	sandaihuikuwen
三房心	sanfangxin
三日疟	sanrinve
三期梅毒	sanqimeidu
三查七对	sanchaqidui
三氟拉嗪	sanfulaqin
三氯乙烯中毒	sanlvyixizhongdu
三氯叔丁醇	sanlvshudingchun
三焦俞穴	sanjiaoyuxue
三焦辨证	sanjiaobianzheng
三物备急丸	sanwubeijiwan
三甲复脉汤	sanjiafumaitang
三相避孕片	sanxiangbiyunpian
三硅酸镁	sanguisuanmei
三硝基甲苯	sanxiaojijiaben
三碘甲状腺原氨酸	sandianjiazhuangxianyuanansuan
三碘甲腺原氨酸	sandianjiaxianyuanansuan
三磷酸肌醇	sanlinsuanjichun
三磷酸腺苷二钠	sanlinsuanxianganerna
三磷酸腺苷二钠片	sanlinsuanxianganernapian
三磷酸鸟苷	sanlinsuanniaogan
三糖	santang
三级结构	sanjijiegou
三联体密码	sanliantimima
三联律	sanlianlv
三肾丸	sanshenwan
三腔二囊管	sanqiangernangguan
三苯双脒肠溶片	sanbenshuangmichangrongpian
三角风	sanjiaofeng
三角骨	sanjiaogu
三踝骨折	sanhuaiguzhe
三金片	sanjinpian
三阳合病	sanyanghebing
三阴	sanyin
三阴交穴	sanyinjiaoxue
三面镜	sanmianjing
三黄片	sanhuangpian
上寒下热	shanghanxiare
上巨虚穴	shangjuxuxue
上廉泉	shanglianquan
上星	shangxing
上海口腔医学	shanghaikouqiangyixue
上消化道造影	shangxiaohuadaozaoying
上清液	shangqingye
上热下寒	shangrexiahan
上皮样细胞	shangpiyangxibao
上皮样肉瘤	shangpiyangrouliu
上皮生长因子	shangpishengzhangyinzi
上皮瘤	shangpiliu
上皮癌	shangpiai
上盛下虚	shangshengxiaxu
上睑	shangjian
上睑下垂	shangjianxiachui
上矢状窦	shangshizhuangdou
上矢状窦血栓形成	shangshizhuangdouxueshuanxingcheng
上纵隔	shangzongge
上肢肌	shangzhiji
上肢长	shangzhizhang
上脘穴	shangwanxue
上腔静脉	shangqiangjingmai
