# 泰深输入法专业词库 — 汽车
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一二档	yierdang
一档齿轮	yidangchilun
一汽丰越	yiqifengyue
一汽华利幸福使者	yiqihualixingfushizhe
一汽吉林森雅	yiqijilinsenya
一汽奥迪	yiqiaodi
一汽威志	yiqiweizhi
一汽客车有限公司	yiqikecheyouxiangongsi
一汽轿车	yiqijiaoche
一汽马自达	yiqimazida
一级方程序赛车	yijifangchengxusaiche
万向液压	wanxiangyeya
三元催化转换器	sanyuancuihuazhuanhuanqi
三四档	sansidang
三效催化器	sanxiaocuihuaqi
三角玻璃	sanjiaoboli
上摆臂	shangbaibi
上止点	shangzhidian
上海大众斯柯达	shanghaidazhongsikeda
上海通用凯迪拉克	shanghaitongyongkaidilake
上海通用别克	shanghaitongyongbieke
下坡辅助系统	xiapofuzhuxitong
下导流板	xiadaoliuban
下悬挂胶套	xiaxuanguajiaotao
下护	xiahu
下护板	xiahuban
下摆臂	xiabaibi
下格栅	xiagezha
下横臂	xiahengbi
下脚垫	xiajiaodian
下边梁	xiabianliang
下门槛	xiamenkan
不回位	buhuiwei
不锈钢阀	buxiugangfa
专项作业车	zhuanxiangzuoyeche
世界窗膜协会	shijiechuangmoxiehui
丙酸纤维素	bingsuanxianweisu
业界动态	yejiedongtai
东风奥丁	dongfengaoding
东风小康	dongfengxiaokang
东风康明斯	dongfengkangmingsi
东风悦达起亚	dongfengyuedaqiya
东风悦达起亚狮跑	dongfengyuedaqiyashipao
东风日产	dongfengrichan
东风日产北京	dongfengrichanbeijing
东风日产奇骏	dongfengrichanqijun
东风景逸	dongfengjingyi
东风朝柴	dongfengchaochai
东风本田	dongfengbentian
东风汗马	dongfenghanma
东风渝安	dongfengyuan
东风牌小轿车	dongfengpaixiaojiaoche
东风越野	dongfengyueye
两分频喇叭	liangfenpinlaba
两前	liangqian
两前轮	liangqianlun
两厢半式轿车	liangxiangbanshijiaoche
中低音	zhongdiyin
中兴汽车标志	zhongxingqichebiaozhi
中兴汽车驰野	zhongxingqichechiye
中华骏捷	zhonghuajunjie
中后桥	zhonghouqiao
中国专用汽车网	zhongguozhuanyongqichewang
中国二手车城	zhongguoershouchecheng
中国四大汽车集团	zhongguosidaqichejituan
中国汽摩频道	zhongguoqimopindao
中国汽贸网	zhongguoqimaowang
中国汽车工业年鉴	zhongguoqichegongyenianjian
中国汽车工程学会	zhongguoqichegongchengxuehui
中国汽车网	zhongguoqichewang
中国电动车协会	zhongguodiandongchexiehui
中大汽车	zhongdaqiche
中大金陵客车	zhongdajinlingkeche
中客华北	zhongkehuabei
中控方向盘	zhongkongfangxiangpan
中桥园柱齿轮壳	zhongqiaoyuanzhuchilunke
中段消声器	zhongduanxiaoshengqi
中盖	zhonggai
中空充钠气门	zhongkongchongnaqimen
中诚海华	zhongchenghaihua
中间传动轴	zhongjianchuandongzhou
中间传动轴总成	zhongjianchuandongzhouzongcheng
中间传动齿轮	zhongjianchuandongchilun
中间托架	zhongjiantuojia
